tweet_id,tweet_str_id,retweet_from_tweet_str_id,text,hashtags,user_id,original_user_id,created_at,image_url
1161067845477916679,1161067845477916679,1132489031512518657,RT @Reuters: ICYMI: 'Mischievous' wolf pups to make their public debut at a zoo in Mexico’s Monterrey https://t.co/AUaXXPOMOu,None,Starcat15,Reuters,Tue Aug 13 00:12:00 +0000 2019,http://pbs.twimg.com/amplify_video_thumb/1131009296320253953/img/RFtXthYn9TCcHK8N.jpg
1161065342187245569,1161065342187245569,1159568715702243329,RT @Reuters: Owls discover and immediately get rid of a hidden camera which tracks their movements https://t.co/0QiuDKiVOv,None,steven_ej,Reuters,Tue Aug 13 00:02:03 +0000 2019,http://pbs.twimg.com/media/EBcvZhyWwAAm_Xd.jpg
1161066704648069121,1161066704648069121,1160622123787988992,RT @Reuters: Hundreds chant anti-India slogans in seething Kashmir on eve of Eid https://t.co/1N2q0ADDdY https://t.co/ZE0ZMClZHM,None,AMGEEK1,Reuters,Tue Aug 13 00:07:28 +0000 2019,http://pbs.twimg.com/media/EBtbq7yWkAER1W6.jpg
1161065192165466112,1161065192165466112,1160731539275243521,RT @Reuters: Guatemalan conservative heads for big presidential election win https://t.co/juGOOPMxks https://t.co/xR4TRLsar7,None,angrytrevor2,Reuters,Tue Aug 13 00:01:28 +0000 2019,http://pbs.twimg.com/media/EBu_LwgXsAAjMBT.jpg
1161065364647632897,1161065364647632897,1160731539275243521,RT @Reuters: Guatemalan conservative heads for big presidential election win https://t.co/juGOOPMxks https://t.co/xR4TRLsar7,None,SirYussly,Reuters,Tue Aug 13 00:02:09 +0000 2019,http://pbs.twimg.com/media/EBu_LwgXsAAjMBT.jpg
1161065897680703488,1161065897680703488,1160731539275243521,RT @Reuters: Guatemalan conservative heads for big presidential election win https://t.co/juGOOPMxks https://t.co/xR4TRLsar7,None,MAGASoGood,Reuters,Tue Aug 13 00:04:16 +0000 2019,http://pbs.twimg.com/media/EBu_LwgXsAAjMBT.jpg
1161065957047132160,1161065957047132160,1160731539275243521,RT @Reuters: Guatemalan conservative heads for big presidential election win https://t.co/juGOOPMxks https://t.co/xR4TRLsar7,None,JayaDogra,Reuters,Tue Aug 13 00:04:30 +0000 2019,http://pbs.twimg.com/media/EBu_LwgXsAAjMBT.jpg
1161066981384171520,1161066981384171520,1160755284714770433,RT @RT_com: Tornado injures 19 people in #Luxembourg https://t.co/GYWCNAwwpN,Luxembourg,Mt1MKioJSx4Ici2,RT_com,Tue Aug 13 00:08:34 +0000 2019,http://pbs.twimg.com/amplify_video_thumb/1160277637144727558/img/6eTDYtJ-Qg6ofHOl.jpg
1161066947741671429,1161066947741671429,1160777933385900034,RT @RT_com: #Russian jets and helicopters perform stunts at Aviadarts 2019 military competition https://t.co/hWy4unDHNV,Russian,Mt1MKioJSx4Ici2,RT_com,Tue Aug 13 00:08:26 +0000 2019,http://pbs.twimg.com/amplify_video_thumb/1160277647450132481/img/KrQ6iw7_Bvmn5qMQ.jpg
1161066954624401408,1161066954624401408,1160793788111052801,RT @CNBC: 3 things you need to know before starting a side business. https://t.co/SIzLP5mrUz via @CNBCMakeIt https://t.co/HaU3xasT1A,None,jefnicolestunt,CNBC,Tue Aug 13 00:08:28 +0000 2019,http://pbs.twimg.com/media/Da0vi2rUQAAcxGy.jpg
