tweet_id,tweet_str_id,retweet_from_tweet_str_id,text,hashtags,user_id,original_user_id,created_at,image_url
1163027267246862336,1163027267246862336,1162880034790502401,RT @azcentral: President Trump slammed Antifa on Twitter. https://t.co/vRR0bmJjZo,None,dorollo,azcentral,Sun Aug 18 09:58:03 +0000 2019,http://pbs.twimg.com/amplify_video_thumb/1162873678779957249/img/9eVOVDfO0Ridbk7Z.jpg
1163027355754827778,1163027355754827778,1162917297587200000,RT @thehill: Poll: Majority of voters say they would not consider reelecting Trump https://t.co/XliQrhbMZr https://t.co/h0MkM9PFzM,None,ChrisRayBaca,thehill,Sun Aug 18 09:58:24 +0000 2019,http://pbs.twimg.com/media/ECODHotXoAAdg_C.jpg
1163024901667561472,1163024901667561472,1163020238377689088,RT @thehill: FEC chair challenges Trump to provide evidence backing up voter fraud claims https://t.co/NRS0QyXXYA https://t.co/Uo79Aqsx0G,None,glejr,thehill,Sun Aug 18 09:48:39 +0000 2019,http://pbs.twimg.com/media/ECPgvktXYAAF6QG.jpg
1163027466694221825,1163027466694221825,1163020238377689088,RT @thehill: FEC chair challenges Trump to provide evidence backing up voter fraud claims https://t.co/NRS0QyXXYA https://t.co/Uo79Aqsx0G,None,NShrubs,thehill,Sun Aug 18 09:58:50 +0000 2019,http://pbs.twimg.com/media/ECPgvktXYAAF6QG.jpg
1163029000345870336,1163029000345870336,1163020238377689088,RT @thehill: FEC chair challenges Trump to provide evidence backing up voter fraud claims https://t.co/NRS0QyXXYA https://t.co/Uo79Aqsx0G,None,akemp1230,thehill,Sun Aug 18 10:04:56 +0000 2019,http://pbs.twimg.com/media/ECPgvktXYAAF6QG.jpg
1163029049775710209,1163029049775710209,1163020238377689088,RT @thehill: FEC chair challenges Trump to provide evidence backing up voter fraud claims https://t.co/NRS0QyXXYA https://t.co/Uo79Aqsx0G,None,ItsSusanS,thehill,Sun Aug 18 10:05:08 +0000 2019,http://pbs.twimg.com/media/ECPgvktXYAAF6QG.jpg
1163027812355174400,1163027812355174400,1163027787801931776,"RT @thehill: Tlaib's grandmother to Trump: ""May God ruin"" you https://t.co/nvELpvrp6V https://t.co/w4WJnzg0Fl",None,DMMConsult_bot,thehill,Sun Aug 18 10:00:13 +0000 2019,http://pbs.twimg.com/media/ECPnm8qW4AEYPpk.jpg
1163028009688825856,1163028009688825856,1163027787801931776,"RT @thehill: Tlaib's grandmother to Trump: ""May God ruin"" you https://t.co/nvELpvrp6V https://t.co/w4WJnzg0Fl",None,skirtsahoy,thehill,Sun Aug 18 10:01:00 +0000 2019,http://pbs.twimg.com/media/ECPnm8qW4AEYPpk.jpg
1163028022724874240,1163028022724874240,1163027787801931776,"RT @thehill: Tlaib's grandmother to Trump: ""May God ruin"" you https://t.co/nvELpvrp6V https://t.co/w4WJnzg0Fl",None,QUICRT,thehill,Sun Aug 18 10:01:03 +0000 2019,http://pbs.twimg.com/media/ECPnm8qW4AEYPpk.jpg
1163028055713038336,1163028055713038336,1163027787801931776,"RT @thehill: Tlaib's grandmother to Trump: ""May God ruin"" you https://t.co/nvELpvrp6V https://t.co/w4WJnzg0Fl",None,JaEmDa66,thehill,Sun Aug 18 10:01:11 +0000 2019,http://pbs.twimg.com/media/ECPnm8qW4AEYPpk.jpg
1163028371233787905,1163028371233787905,1163027787801931776,"RT @thehill: Tlaib's grandmother to Trump: ""May God ruin"" you https://t.co/nvELpvrp6V https://t.co/w4WJnzg0Fl",None,According2Garp,thehill,Sun Aug 18 10:02:26 +0000 2019,http://pbs.twimg.com/media/ECPnm8qW4AEYPpk.jpg
1163028622346559488,1163028622346559488,1163027787801931776,"RT @thehill: Tlaib's grandmother to Trump: ""May God ruin"" you https://t.co/nvELpvrp6V https://t.co/w4WJnzg0Fl",None,darayya1,thehill,Sun Aug 18 10:03:26 +0000 2019,http://pbs.twimg.com/media/ECPnm8qW4AEYPpk.jpg
